1*As It Was*Harry Styles*1,850,284
2*Running Up That Hill (A Deal With God)*Kate Bush*1,310,081
3*Late Night Talking*Harry Styles*1,243,098
4*First Class*Jack Harlow*1,045,244
5*Me Porto Bonito*Bad Bunny, Chencho Corleone*990,898
6*About Damn Time*Lizzo*917,678
7*Music For a Sushi Restaurant*Harry Styles*865,477
8*Tití Me Preguntó*Bad Bunny*852,641
9*Matilda*Harry Styles*840,117
10*Daylight*Harry Styles*839,202
11*True Love*Kanye West, XXXTENTACION*774,149
12*Ojitos Lindos*Bad Bunny, Bomba Estéreo*766,843
13*WAIT FOR U (feat. Drake & Tems)*Future*763,703
14*Heat Waves*Glass Animals*762,345
15*Moscow Mule*Bad Bunny*751,962
16*Grapejuice*Harry Styles*735,655
17*Little Freak*Harry Styles*729,946
18*Satellite*Harry Styles*700,753
19*N95*Kendrick Lamar*694,221
20*Después de la Playa*Bad Bunny*690,968
21*Party*Bad Bunny, Rauw Alejandro*663,233
22*Keep Driving*Harry Styles*638,147
23*Cinema*Harry Styles*635,969
24*Daydreaming*Harry Styles*617,372
25*Love Of My Life*Harry Styles*586,677
26*You Proof*Morgan Wallen*569,089
27*Cooped Up (with Roddy Ricch)*Post Malone*557,203
28*PUFFIN ON ZOOTIEZ*Future*556,337
29*Die Hard*Kendrick Lamar, Blxst, Amanda Reifer*541,132
30*Wasted On You*Morgan Wallen*539,426
31*Potion (with Dua Lipa & Young Thug)*Calvin Harris*529,783
32*Efecto*Bad Bunny*523,092
33*Die Young (feat. 347aidan)*Sleepy Hallow*517,959
34*PROVENZA*KAROL G*516,607
35*STAY (with Justin Bieber)*The Kid LAROI*499,245
36*Woman*Doja Cat*495,273
37*Boyfriends*Harry Styles*492,406
38*INDUSTRY BABY (feat. Jack Harlow)*Lil Nas X*486,722
39*good 4 u*Olivia Rodrigo*485,007
40*No Role Modelz*J. Cole*479,740
41*Tarot*Bad Bunny, Jhay Cortez*462,628
42*Ghost*Justin Bieber*452,338
43*Something in the Orange*Zach Bryan*451,381
44*Un Ratito*Bad Bunny*449,540
45*Whiskey Glasses*Morgan Wallen*432,852
46*Rich Spirit*Kendrick Lamar*428,423
47*Enemy (with JID) - from the series Arcane League of Legends*Imagine Dragons*423,965
48*Dua Lipa*Jack Harlow*421,314
49*Until I Found You*Stephen Sanchez*421,313
50*Cold Heart - PNAU Remix*Elton John, Dua Lipa*419,216
51*Yo No Soy Celoso*Bad Bunny*413,242
52*Wait a Minute!*WILLOW*399,123
53*Silent Hill*Kendrick Lamar, Kodak Black*396,376
54*Bam Bam (feat. Ed Sheeran)*Camila Cabello*393,434
